filem_name,genre,director_rank,director,sum_of_first_five,film_income,runtime_minuts,release_year
Sleepless,"Action, Mystery & Thriller",10362,Baran bo Odar,46076,20700000,95,2017
Split,"Mystery & Thriller, Horror",11971,M. Night Shyamalan,43572,138100000,117,2017
The Resurrection of Gavin Stone,"Drama, Comedy",7846,Dallas Jenkins,32221,2300000,92,2017
Sophie and the Rising Sun,"Drama, History, Romance",5546,Maggie Greenwald,32976,3030000,116,2017
A Dog's Purpose,"Fantasy, Drama, Comedy",0,Lasse Hallström,48524,64300000,120,2017
Rings,"Mystery & Thriller, Horror",0,F. Javier Gutiérrez,36757,27800000,97,2017
The Space Between Us,"Adventure, Romance",11570,Peter Chelsom,55272,7800000,120,2017
Fifty Shades Darker,"Drama, Romance",11801,James Foley,51557,114400000,118,2017
John Wick: Chapter 2,"Mystery & Thriller, Action",11695,Chad Stahelski,73997,92000000,122,2017
The Great Wall,"Action, Adventure, Fantasy",0,Yimou Zhang,62115,45100000,104,2017
A Cure for Wellness,"Mystery & Thriller, Drama, Horror",11980,Gore Verbinski,52404,7500000,140,2017
Fist Fight,Comedy,10349,Richie Keen,46088,32200000,91,2017
Get Out,"Mystery & Thriller, Horror, Comedy",11656,Jordan Peele,58057,176000000,104,2017
Rock Dog,"Animation, Music, Kids & Family, Adventure, Comedy",9926,Ash Brannon,43678,9400000,90,2017
Collide,"Action, Mystery & Thriller",9076,Eran Creevy,47997,2200000,94,2017
Logan,"Action, Adventure, Fantasy",11941,James Mangold,63958,226300000,137,2017
The Shack,Drama,10985,Stuart Hazeldine,54022,57200000,132,2017
Before I Fall,"Mystery & Thriller, Drama",9939,Ry Russo-Young,54845,12200000,100,2017
Table 19,"Drama, Comedy",9357,Jeffrey Blitz,43505,3600000,87,2017
The Last Word,"Drama, Comedy",11055,Mark Pellington,47644,1800000,108,2017
Kong: Skull Island,"Fantasy, Action, Adventure, Sci-Fi",11692,Jordan Vogt-Roberts,49495,168000000,118,2017
Beauty and the Beast,"Kids & Family, Romance, Musical, Fantasy",11968,Bill Condon,49122,504000000,129,2017
Song to Song,"Romance, Drama, Music",11296,Terrence Malick,48529,42190000,129,2017
Wilson,Comedy,8680,Craig Johnson,41118,65300000,94,2017
Ghost in the Shell,"Action, Adventure, Sci-Fi",11694,Rupert Sanders,52666,40500000,107,2017
The Boss Baby,"Kids & Family, Adventure, Animation, Comedy",11965,Tom McGrath,63056,174900000,97,2017
The Zookeeper's Wife,"Biography, History, Drama",11309,Niki Caro,26801,17400000,125,2017
The Blackcoat's Daughter,"Mystery & Thriller, Horror",9856,Oz Perkins,41562,2000000,93,2017
The Case for Christ,"Biography, Drama",10181,Jon Gunn,39327,14700000,112,2017
Smurfs: The Lost Village,"Animation, Fantasy, Kids & Family, Adventure, Comedy",11893,Kelly Asbury,43080,45000000,91,2017
Going in Style,Comedy,11107,Zach Braff,46786,45000000,96,2017
Colossal,"Fantasy, Comedy",8513,Nacho Vigalondo,39782,3000000,110,2017
Gifted,Drama,11899,Marc Webb,44006,24800000,101,2017
The Fate of the Furious,"Action, Adventure, Mystery & Thriller",11951,F. Gary Gray,49553,225700000,136,2017
The Lost City of Z,"Biography, Adventure, History, Drama",11374,James Gray,60917,8600000,141,2017
My Entire High School Sinking Into the Sea,"Adventure, Animation, Comedy",3011,Dash Shaw,37124,5730000,72,2017
Unforgettable,Mystery & Thriller,9571,Denise Di Novi,37887,11300000,100,2017
The Circle,"Mystery & Thriller, Drama, Sci-Fi",10541,James Ponsoldt,47149,20500000,110,2017
How to Be a Latin Lover,Comedy,10760,Ken Marino,45659,32100000,115,2017
Guardians of the Galaxy Vol. 2,"Fantasy, Action, Adventure, Sci-Fi, Comedy",11931,James Gunn,49916,389800000,135,2017
3 Generations,"Lgbtq+, Drama, Comedy",7034,Gaby Dellal,52570,6640000,94,2017
King Arthur: Legend of the Sword,"Action, Adventure, Fantasy",11960,Guy Ritchie,60829,39100000,126,2017
Snatched,"Action, Adventure, Comedy",11488,Jonathan Levine,45690,45800000,90,2017
Lowriders,Drama,8625,Ricardo de Montreuil,36819,6200000,99,2017
Alien: Covenant,"Mystery & Thriller, Sci-Fi, Horror",11986,Ridley Scott,63654,74200000,122,2017
"Everything, Everything","Drama, Romance",10866,Stella Meghie,36967,34100000,96,2017
Wakefield,Drama,6194,Robin Swicord,49620,25940000,109,2017
Baywatch,"Action, Comedy",11753,Seth Gordon,72781,58000000,116,2017
Pirates of the Caribbean: Dead Men Tell No Tales,"Action, Adventure, Fantasy",0,"Joachim Rønning, Espen Sandberg",47500,172500000,123,2017
Wonder Woman,"Action, Adventure, Fantasy",11828,Patty Jenkins,45186,412800000,141,2017
Captain Underpants: The First Epic Movie,"Kids & Family, Adventure, Animation, Comedy",11583,David Soren,42096,73900000,89,2017
The Mummy,"Action, Adventure, Fantasy, Horror",11589,Alex Kurtzman,47714,80100000,107,2017
It Comes at Night,"Mystery & Thriller, Horror",9864,Trey Edward Shults,48226,14000000,97,2017
My Cousin Rachel,"Mystery & Thriller, Romance, Drama",11657,Roger Michell,41406,2700000,106,2017
Megan Leavey,"Drama, Biography, War",9643,Gabriela Cowperthwaite,57489,13400000,116,2017
Beatriz at Dinner,Comedy,11262,Miguel Arteta,44985,7100000,83,2017
Cars 3,"Kids & Family, Adventure, Animation, Comedy",11558,Brian Fee,44728,152900000,109,2017
Rough Night,Comedy,10465,Lucia Aniello,63339,22100000,96,2017
The Book of Henry,"Mystery & Thriller, Drama",11915,Colin Trevorrow,45559,4200000,100,2017
Transformers: The Last Knight,"Fantasy, Action, Adventure, Sci-Fi",11995,Michael Bay,40278,130100000,148,2017
The Beguiled,"History, Drama",11393,Sofia Coppola,41597,10500000,94,2017
The Big Sick,"Romance, Comedy",10798,Michael Showalter,45375,42900000,120,2017
The Bad Batch,"Mystery & Thriller, Horror",6108,Ana Lily Amirpour,61459,18090000,118,2017
Baby Driver,"Action, Mystery & Thriller",11622,Edgar Wright,47441,107800000,113,2017
Despicable Me 3,"Comedy, Kids & Family, Adventure, Animation",11982,"Pierre Coffin, Kyle Balda",47706,264600000,90,2017
The Little Hours,Comedy,7274,Jeff Baena,43023,1600000,90,2017
Spider-Man: Homecoming,"Action, Comedy, Adventure, Fantasy",11939,Jon Watts,73848,334400000,133,2017
War for the Planet of the Apes,"Action, Adventure, Sci-Fi",11883,Matt Reeves,64299,146800000,142,2017
Dunkirk,"Drama, History, War",11992,Christopher Nolan,56427,188000000,107,2017
Girls Trip,Comedy,11758,Malcolm D. Lee,41367,115100000,122,2017
Atomic Blonde,"Mystery & Thriller, Action, Lgbtq+",11909,David Leitch,44165,51500000,115,2017
The Emoji Movie,"Animation, Kids & Family, Adventure, Comedy",11396,Anthony Leondis,47138,86100000,86,2017
Detroit,"Drama, Crime",11549,Kathryn Bigelow,43018,16800000,143,2017
Brigsby Bear,Comedy,5804,Dave McCary,31230,53260000,97,2017
The Dark Tower,"Fantasy, Adventure, Action",11140,Nikolaj Arcel,43403,50700000,95,2017
Wind River,"Mystery & Thriller, Drama, Crime",10680,Taylor Sheridan,37059,33800000,111,2017
The Glass Castle,"Biography, Drama",11647,Destin Daniel Cretton,52880,17200000,127,2017
The Nut Job 2: Nutty by Nature,"Kids & Family, Adventure, Animation, Comedy",11361,Cal Brunker,45910,28300000,91,2017
Good Time,"Mystery & Thriller, Crime, Drama",0,"Joshua Safdie, Ben Safdie",43175,2000000,101,2017
Ingrid Goes West,"Drama, Comedy",7906,Matt Spicer,55147,3000000,98,2017
The Only Living Boy in New York,"Romance, Drama",11899,Marc Webb,47653,62300000,90,2017
The Hitman's Bodyguard,"Action, Comedy",11624,Patrick Hughes,48060,75400000,118,2017
Logan Lucky,"Crime, Drama, Comedy",11954,Steven Soderbergh,65087,27800000,119,2017
Film Stars Don't Die in Liverpool,"History, Romance, Biography, Drama",11229,Paul McGuigan,60951,1000000,106,2017
Tulip Fever,"Drama, History, Romance",11042,Justin Chadwick,41204,2400000,107,2017
It,"Mystery & Thriller, Horror",11632,Andy Muschietti,55836,327500000,135,2017
Home Again,"Romance, Comedy",10285,Hallie Meyers-Shyer,58119,27000000,97,2017
9/11,Drama,4104,Martin Guigui,53934,17200000,90,2017
American Assassin,"Action, Mystery & Thriller",10803,Michael Cuesta,62811,36200000,111,2017
Brad's Status,"Drama, Comedy",8345,Mike White,41173,2100000,102,2017
Kingsman: The Golden Circle,"Action, Adventure, Comedy",11886,Matthew Vaughn,48201,100200000,141,2017
Stronger,"Biography, Drama",11698,David Gordon Green,41185,4200000,119,2017
Battle of the Sexes,"Drama, Comedy",11123,"Valerie Faris, Jonathan Dayton",41374,12600000,121,2017
Woodshock,Drama,1610,"Kate Mulleavy, Laura Mulleavy",34767,4110000,101,2017
Victoria & Abdul,"Biography, History, Drama",11710,Stephen Frears,39430,22200000,110,2017
American Made,"Adventure, Comedy, Drama",11895,Doug Liman,60903,51300000,115,2017
Flatliners,"Mystery & Thriller, Sci-Fi",10701,Niels Arden Oplev,40973,16900000,108,2017
Mark Felt: The Man Who Brought Down the White House,"Biography, History, Drama",10574,Peter Landesman,40043,76790000,103,2017
Blade Runner 2049,"Mystery & Thriller, Sci-Fi",11830,Denis Villeneuve,46491,91500000,164,2017
The Mountain Between Us,"Romance, Adventure, Drama",10694,Hany Abu-Assad,53235,30300000,104,2017
My Little Pony: The Movie,"Animation, Fantasy, Kids & Family, Adventure, Comedy",10664,Jayson Thiessen,66754,21800000,99,2017
The Florida Project,Drama,9331,Sean Baker,43427,5800000,115,2017
Happy Death Day,"Mystery & Thriller, Horror, Comedy",11477,Christopher Landon,49368,55700000,96,2017
Marshall,"Biography, History, Drama",10829,Reginald Hudlin,47733,10000000,118,2017
Goodbye Christopher Robin,"History, Biography, Drama",11136,Simon Curtis,49997,1700000,107,2017
Geostorm,"Action, Adventure, Sci-Fi",11360,Dean Devlin,62178,33400000,109,2017
Only the Brave,"Adventure, Drama",11744,Joseph Kosinski,46606,18100000,134,2017
Same Kind of Different as Me,Drama,8665,Michael Carney,46930,6400000,119,2017
Wonderstruck,"Adventure, Drama",11076,Todd Haynes,55460,1000000,117,2017
The Killing of a Sacred Deer,"Mystery & Thriller, Horror",11096,Yorgos Lanthimos,55482,2300000,121,2017
Thank You for Your Service,"Drama, Biography, War",9107,Jason Hall,52177,9400000,108,2017
Suburbicon,"Mystery & Thriller, Comedy",11551,George Clooney,49286,5700000,105,2017
Jigsaw,"Mystery & Thriller, Horror",11321,"Michael Spierig, Peter Spierig",52113,38000000,92,2017
Novitiate,Drama,0,Maggie Betts,34138,55650000,123,2017
All I See Is You,Drama,11907,Marc Forster,50018,580000,110,2017
Amityville: The Awakening,"Mystery & Thriller, Horror",8870,Franck Khalfoun,33661,742,85,2017
Thor: Ragnarok,"Fantasy, Adventure, Sci-Fi, Action, Comedy",11817,Taika Waititi,49443,315000000,130,2017
A Bad Moms Christmas,"Other, Comedy",11528,"Jon Lucas, Scott Moore",46605,72100000,104,2017
Last Flag Flying,"Drama, Comedy",11491,Richard Linklater,58018,96030000,124,2017
Lady Bird,"Drama, Comedy",11457,Greta Gerwig,46183,48900000,94,2017
Murder on the Orient Express,"Mystery & Thriller, Crime, Drama",11914,Kenneth Branagh,73105,101500000,114,2017
Daddy's Home 2,"Comedy, Other",11736,Sean Anders,48214,104000000,98,2017
LBJ,"Biography, History, Drama",11810,Rob Reiner,38754,2500000,98,2017
"Three Billboards Outside Ebbing, Missouri","Drama, Crime, Comedy",11365,Martin McDonagh,40461,54100000,115,2017
Justice League,"Action, Adventure, Fantasy",11972,Zack Snyder,49148,227000000,119,2017
The Star,"Animation, Kids & Family, Other, Adventure, Comedy",10681,Timothy Reckart,73029,40400000,86,2017
"Roman J. Israel, Esq.","Mystery & Thriller, Crime, Drama",10689,Dan Gilroy,48431,11700000,117,2017
Darkest Hour,"War, Biography, History, Drama",11754,Joe Wright,46336,56300000,125,2017
The Man Who Invented Christmas,"Biography, Other, History, Drama",10060,Bharat Nalluri,40672,5700000,104,2017
Call Me by Your Name,"Lgbtq+, Drama, Romance",10594,Luca Guadagnino,31637,18000000,132,2018
The Disaster Artist,"Drama, Comedy",10069,James Franco,48331,21100000,103,2017
The Shape of Water,"Fantasy, Romance",11853,Guillermo del Toro,42726,63300000,123,2017
Wonder Wheel,Drama,11873,Woody Allen,41941,1200000,101,2017
"I, Tonya","Comedy, Drama, Biography",11576,Craig Gillespie,43204,30000000,121,2018
Just Getting Started,"Other, Comedy",11479,Ron Shelton,60172,5500000,91,2017
Star Wars: The Last Jedi,"Fantasy, Action, Adventure, Sci-Fi",11929,Rian Johnson,49646,620200000,152,2017
Ferdinand,"Adventure, Comedy, Kids & Family, Animation",11969,Carlos Saldanha,46017,84200000,108,2017
Jumanji: Welcome to the Jungle,"Action, Adventure, Fantasy, Comedy",11949,Jake Kasdan,73405,404600000,119,2017
The Greatest Showman,"History, Biography, Drama, Musical",11600,Michael Gracey,48940,174000000,105,2017
Pitch Perfect 3,"Musical, Comedy",11412,Trish Sie,47749,104900000,94,2017
Downsizing,"Fantasy, Drama, Sci-Fi, Comedy",11648,Alexander Payne,68642,24400000,135,2017
Father Figures,Comedy,0,Lawrence Sher,44860,16800000,113,2017
The Post,"History, Drama",11999,Steven Spielberg,39218,81400000,115,2018
Hostiles,"Western, History, Drama",11341,Scott Cooper,45954,29800000,133,2018
All the Money in the World,"Mystery & Thriller, Crime, Drama",11986,Ridley Scott,41907,24800000,132,2017
Molly's Game,"Biography, Drama",10568,Aaron Sorkin,42283,28700000,141,2018
Phantom Thread,"Romance, Drama",11467,Paul Thomas Anderson,41675,20900000,130,2018
Anesthesia,Drama,9594,Tim Blake Nelson,39505,2240000,89,2016
Ride Along 2,"Action, Comedy",11884,Tim Story,45979,90800000,101,2016
13 Hours: The Secret Soldiers of Benghazi,"Mystery & Thriller, Drama, War",11995,Michael Bay,51278,52800000,144,2016
Norm of the North,"Kids & Family, Adventure, Animation, Comedy",10109,Trevor Wall,44598,17000000,90,2016
The 5th Wave,"Mystery & Thriller, Adventure, Sci-Fi",0,J Blakeson,52555,34900000,112,2016
Kung Fu Panda 3,"Kids & Family, Adventure, Animation, Comedy",11857,"Jennifer Yuh Nelson, Alessandro Carloni",47522,143500000,95,2016
The Finest Hours,"Mystery & Thriller, History, Drama, Action, Adventure",11576,Craig Gillespie,65472,27600000,116,2016
Fifty Shades of Black,Comedy,10421,Mike Tiddes,60772,11700000,92,2016
Jane Got a Gun,"Western, Action",0,Gavin O'Connor,42969,1500000,98,2016
"Hail, Caesar!",Comedy,11846,"Joel Coen, Ethan Coen",48996,30000000,106,2016
The Choice,"Drama, Romance",9934,Ross Katz,45085,18700000,111,2016
Deadpool,"Action, Adventure, Fantasy, Comedy",11824,Tim Miller,44945,363100000,108,2016
How to Be Single,"Romance, Comedy",11027,Christian Ditter,46737,46800000,110,2016
Race,"History, Biography, Drama",11603,Stephen Hopkins,53423,19100000,134,2016
Gods of Egypt,"Fantasy, Adventure, Action",11761,Alex Proyas,42476,31100000,121,2016
Triple 9,"Mystery & Thriller, Crime, Drama, Action",10852,John Hillcoat,71072,12600000,115,2016
London Has Fallen,"Action, Mystery & Thriller",11343,Babak Najafi,65880,62500000,99,2016
Whiskey Tango Foxtrot,"War, Biography, Drama, Comedy",11533,"Glenn Ficarra, John Requa",42832,23000000,111,2016
10 Cloverfield Lane,Mystery & Thriller,11040,Dan Trachtenberg,45150,72100000,103,2016
The Perfect Match,"Romance, Comedy",11128,Bille Woodruff,48186,9700000,96,2016
"Hello, My Name Is Doris","Drama, Comedy",10798,Michael Showalter,55903,14400000,90,2016
The Divergent Series: Allegiant,"Action, Adventure, Sci-Fi",11838,Robert Schwentke,47682,66200000,121,2016
The Bronze,Comedy,5746,Bryan Buckley,30322,61570000,100,2016
Midnight Special,"Mystery & Thriller, Sci-Fi",10623,Jeff Nichols,47636,3700000,111,2016
Batman v Superman: Dawn of Justice,"Action, Fantasy, Adventure, Sci-Fi",11972,Zack Snyder,49113,330200000,153,2016
My Big Fat Greek Wedding 2,"Romance, Comedy",11543,Kirk Jones,43051,59600000,94,2016
I Saw the Light,"History, Biography, Drama",8638,Marc Abraham,35850,1600000,123,2016
Everybody Wants Some!!,Comedy,11491,Richard Linklater,35335,3400000,116,2016
God's Not Dead 2,Drama,10976,Harold Cronk,39016,20800000,121,2016
Meet the Blacks,Comedy,10953,Deon Taylor,38151,9100000,93,2016
Miles Ahead,"History, Biography, Drama, Music",8419,Don Cheadle,52067,2600000,96,2016
The Boss,Comedy,11388,Ben Falcone,64418,63000000,99,2016
Demolition,"Drama, Comedy",0,Jean-Marc Vallée,47296,1800000,101,2016
The Jungle Book,"Kids & Family, Adventure, Action, Fantasy",11988,Jon Favreau,49014,364000000,105,2016
Barbershop: The Next Cut,Comedy,11758,Malcolm D. Lee,48254,54000000,112,2016
Criminal,"Action, Mystery & Thriller",10404,Ariel Vromen,49020,14700000,113,2016
Green Room,"Mystery & Thriller, Horror",8235,Jeremy Saulnier,37761,3200000,94,2016
The Huntsman: Winter's War,"Action, Adventure, Fantasy",11234,Cedric Nicolas-Troyan,48044,48000000,114,2016
Elvis & Nixon,Comedy,7174,Liza Johnson,45323,1000000,86,2016
Keanu,"Action, Comedy",9789,Peter Atencio,65032,20600000,100,2016
Ratchet & Clank,"Animation, Action, Kids & Family, Adventure, Sci-Fi, Comedy",11078,Kevin Munroe,66463,8800000,94,2016
Captain America: Civil War,"Action, Adventure, Fantasy",11998,"Anthony Russo, Joe Russo",79676,408100000,146,2016
Money Monster,"Mystery & Thriller, Drama",11178,Jodie Foster,41091,41000000,98,2016
Love & Friendship,Comedy,10242,Whit Stillman,42434,14000000,93,2016
The Angry Birds Movie,"Animation, Action, Kids & Family, Adventure, Comedy",11520,"Clay Kaytis, Fergal Reilly",48514,107500000,93,2016
Inside Out,"Kids & Family, Animation, Fantasy, Comedy",11952,Pete Docter,45970,2000000,95,2015
Neighbors 2: Sorority Rising,Comedy,11778,Nicholas Stoller,70370,55300000,92,2016
The Nice Guys,"Action, Mystery & Thriller, Comedy",11892,Shane Black,44124,36200000,116,2016
X-Men: Apocalypse,"Action, Adventure, Sci-Fi, Fantasy",11983,Bryan Singer,48650,155000000,143,2016
Alice Through the Looking Glass,"Fantasy, Adventure",11724,James Bobin,46795,77000000,113,2016
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action, Adventure, Comedy",0,Dave Green,74422,82000000,107,2016
Me Before You,"Drama, Romance",11324,Thea Sharrock,44055,56200000,110,2016
Popstar: Never Stop Never Stopping,"Music, Comedy",10813,"Akiva Schaffer, Jorma Taccone",39062,9400000,86,2016
The Conjuring 2,"Mystery & Thriller, Horror",11981,James Wan,50275,102500000,133,2016
Warcraft,"Fantasy, Adventure, Action",11708,Duncan Jones,44620,47200000,123,2016
Now You See Me 2,"Adventure, Comedy",11891,Jon M. Chu,48927,65000000,129,2016
Finding Dory,"Kids & Family, Adventure, Animation, Comedy",11964,Andrew Stanton,71764,486200000,103,2016
Central Intelligence,"Action, Comedy",11811,Rawson Marshall Thurber,60468,127400000,107,2016
Independence Day: Resurgence,"Action, Adventure, Sci-Fi",11984,Roland Emmerich,43187,103100000,120,2016
Free State of Jones,"War, Biography, History, Drama",11850,Gary Ross,46961,20800000,139,2016
The Neon Demon,"Mystery & Thriller, Horror",10947,Nicolas Winding Refn,46039,1300000,117,2016
The Legend of Tarzan,"Action, Adventure, Drama",11993,David Yates,62912,126600000,110,2016
The BFG,"Kids & Family, Adventure, Fantasy",11999,Steven Spielberg,44170,55500000,115,2016
The Purge: Election Year,"Action, Horror, Mystery & Thriller",11486,James DeMonaco,43000,79000000,109,2016
The Secret Life of Pets,"Kids & Family, Adventure, Animation, Comedy",11974,Chris Renaud,48326,368300000,91,2016
Captain Fantastic,"Drama, Comedy",9818,Matt Ross,40622,5900000,119,2016
Mike and Dave Need Wedding Dates,Comedy,10806,Jake Szymanski,45010,46000000,98,2016
The Infiltrator,"Mystery & Thriller, Biography, Crime, Drama",11248,Brad Furman,44404,15400000,127,2016
Star Trek Beyond,"Sci-Fi, Action, Adventure, Fantasy",11967,Justin Lin,49274,158800000,122,2016
Ice Age: Collision Course,"Kids & Family, Adventure, Animation, Comedy",11574,Mike Thurmeier,46137,64000000,94,2016
Lights Out,"Mystery & Thriller, Horror",11777,David F. Sandberg,52803,67300000,77,2016
Nerve,"Mystery & Thriller, Action",11606,"Henry Joost, Ariel Schulman",52770,38600000,96,2016
Jason Bourne,"Action, Mystery & Thriller",11903,Paul Greengrass,45993,162200000,123,2016
Bad Moms,Comedy,11528,"Jon Lucas, Scott Moore",40818,113200000,101,2016
Nine Lives,"Fantasy, Comedy",11955,Barry Sonnenfeld,62302,19600000,89,2016
Pete's Dragon,"Kids & Family, Adventure, Fantasy",11257,David Lowery,37306,555,103,2016
Sausage Party,"Comedy, Adventure, Animation",11958,"Conrad Vernon, Greg Tiernan",48640,97700000,89,2016
Florence Foster Jenkins,"Biography, Drama, Music, Comedy",11710,Stephen Frears,40962,27400000,110,2016
Ben-Hur,"Drama, History, Action, Adventure",11745,Timur Bekmambetov,43015,26400000,125,2016
Kubo and the Two Strings,"Animation, Action, Fantasy, Kids & Family, Adventure",11682,Travis Knight,64645,48000000,102,2016
War Dogs,"Drama, Comedy",11973,Todd Phillips,45242,43000000,114,2016
Mechanic: Resurrection,"Action, Adventure, Mystery & Thriller",11265,Dennis Gansel,55212,21200000,99,2016
Don't Breathe,"Mystery & Thriller, Horror",0,Fede Alvarez,52402,89200000,88,2016
Hands of Stone,"History, Biography, Drama",8775,Jonathan Jakubowicz,57486,4700000,105,2016
The Light Between Oceans,"Romance, Drama",10899,Derek Cianfrance,38923,12500000,133,2016
Morgan,"Mystery & Thriller, Sci-Fi, Horror",8807,Luke Scott,34521,3900000,88,2016
When the Bough Breaks,Drama,10115,Jon Cassar,56730,29700000,102,2016
Bridget Jones's Baby,"Romance, Comedy",11642,Sharon Maguire,61516,24100000,122,2016
Snowden,"Mystery & Thriller, Biography, Drama",11871,Oliver Stone,43998,21600000,134,2016
The Magnificent Seven,"Western, Adventure, Action",11880,Antoine Fuqua,69063,93400000,128,2016
Storks,"Kids & Family, Adventure, Animation, Comedy",11778,"Nicholas Stoller, Doug Sweetland",45763,72700000,83,2016
Miss Peregrine's Home for Peculiar Children,"Mystery & Thriller, Drama, Fantasy, Action, Adventure",11990,Tim Burton,47543,87200000,121,2016
Queen of Katwe,"Biography, Drama",11099,Mira Nair,41987,8900000,124,2016
Masterminds,"Action, Comedy",11255,Jared Hess,68107,17300000,95,2016
The Birth of a Nation,"Biography, History, Drama",9617,Nate Parker,44639,15800000,114,2016
The Accountant,"Mystery & Thriller, Action, Drama, Crime",0,Gavin O'Connor,66750,86200000,128,2016
Kevin Hart: What Now?,"Documentary, Comedy",9917,"Leslie Small, Tim Story",59167,23600000,96,2016
Max Steel,"Fantasy, Action, Adventure, Sci-Fi",10140,Stewart Hendler,42082,3800000,92,2016
Ouija: Origin of Evil,"Mystery & Thriller, Horror",11306,Mike Flanagan,46735,34900000,99,2016
American Pastoral,Drama,7208,Ewan McGregor,59152,54150000,108,2016
Inferno,"Mystery & Thriller, Adventure, Action",11987,Ron Howard,43261,34300000,116,2016
Doctor Strange,"Action, Adventure, Fantasy",11858,Scott Derrickson,49229,232600000,115,2016
Trolls,"Animation, Fantasy, Kids & Family, Adventure, Musical, Comedy",11922,"Mike Mitchell, Walt Dohrn",47094,153600000,88,2016
Hacksaw Ridge,"Biography, Drama, History, War",11844,Mel Gibson,45119,67000000,139,2016
Loving,"Biography, History, Drama",10623,Jeff Nichols,49408,7600000,123,2016
Arrival,"Mystery & Thriller, Drama, Sci-Fi",11830,Denis Villeneuve,43969,100500000,116,2016
Billy Lynn's Long Halftime Walk,"Drama, Comedy",11916,Ang Lee,65383,1700000,108,2016
Almost Christmas,"Other, Drama, Comedy",11021,David E. Talbert,71541,42000000,112,2016
Shut In,Mystery & Thriller,0,Farren Blackburn,50659,6900000,91,2016
Fantastic Beasts and Where to Find Them,"Fantasy, Adventure",11993,David Yates,47874,234000000,127,2016
The Edge of Seventeen,"Drama, Comedy",0,Kelly Fremon,41802,14400000,105,2016
Moana,"Animation, Kids & Family, Adventure, Musical, Comedy",11920,"John Musker, Ron Clements",51669,248800000,113,2016
Allied,"Mystery & Thriller, History, War, Drama, Action, Romance",11989,Robert Zemeckis,66934,39800000,119,2016
Bad Santa 2,"Other, Comedy",11791,Mark Waters,44412,17700000,92,2016
Rules Don't Apply,"Romance, Drama, Comedy",11514,Warren Beatty,46829,3600000,121,2016
La La Land,"Drama, Musical, Romance, Comedy",11709,Damien Chazelle,56744,151100000,128,2016
Rogue One: A Star Wars Story,"Fantasy, Action, Adventure, Sci-Fi",11905,Gareth Edwards,77859,532200000,134,2016
The Founder,"History, Biography, Drama",11701,John Lee Hancock,36830,12800000,115,2017
Sing,"Kids & Family, Animation, Musical, Comedy",11720,Garth Jennings,49219,270400000,108,2016
Patriots Day,"Crime, Mystery & Thriller, Drama",11902,Peter Berg,47333,31800000,130,2017
A Monster Calls,"Fantasy, Adventure, Drama",11906,Juan Antonio Bayona,51763,2200000,108,2017
Blackhat,"Mystery & Thriller, Action, Drama, Crime",11826,Michael Mann,53357,7800000,134,2015
The Wedding Ringer,Comedy,10850,Jeremy Garelick,44954,64500000,101,2015
Vice,"Biography, Drama, Comedy",11805,Adam McKay,47269,47800000,132,2018
The Boy Next Door,Mystery & Thriller,11885,Rob Cohen,57877,35400000,90,2015
Mortdecai,"Action, Adventure, Comedy",11329,David Koepp,48498,7700000,106,2015
Strange Magic,"Animation, Fantasy, Kids & Family, Musical, Comedy",11340,Gary Rydstrom,41720,12400000,99,2015
Black or White,Drama,10959,Mike Binder,59603,21600000,121,2015
Project Almanac,"Mystery & Thriller, Sci-Fi",11253,Dean Israelite,36044,22300000,106,2015
Jupiter Ascending,"Action, Adventure, Sci-Fi",0,"Lilly Wachowski, Lana Wachowski",44058,47400000,127,2015
Seventh Son,"Fantasy, Adventure, Action",11044,Sergey Bodrov,62501,17200000,102,2015
The SpongeBob Movie: Sponge Out of Water,"Adventure, Comedy, Kids & Family",11476,"Paul Tibbitt, Mike Mitchell",45105,163400000,92,2015
Fifty Shades of Grey,"Drama, Romance",11700,Sam Taylor-Johnson,55012,166100000,125,2015
Kingsman: The Secret Service,"Action, Adventure, Comedy",11886,Matthew Vaughn,48559,128200000,129,2015
The DUFF,"Romance, Comedy",10424,Ari Sandel,57478,34000000,96,2015
The Lazarus Effect,"Mystery & Thriller, Horror",10373,David Gelb,39549,25800000,83,2015
Chappie,"Action, Mystery & Thriller, Sci-Fi",11713,Neill Blomkamp,53699,31600000,120,2015
The Second Best Exotic Marigold Hotel,"Drama, Comedy",11725,John Madden,46749,33000000,122,2015
Danny Collins,"Drama, Comedy",9524,Dan Fogelman,47618,5500000,106,2015
The Divergent Series: Insurgent,"Sci-Fi, Action, Adventure",11838,Robert Schwentke,47204,130100000,118,2015
The Gunman,"Mystery & Thriller, Action",11539,Pierre Morel,47893,10600000,115,2015
While We're Young,"Drama, Comedy",10605,Noah Baumbach,48240,7600000,94,2015
Furious 7,"Action, Adventure, Mystery & Thriller",11981,James Wan,49404,350800000,137,2015
Ex Machina,"Mystery & Thriller, Drama, Sci-Fi",10858,Alex Garland,48281,25400000,107,2015
Child 44,Mystery & Thriller,11496,Daniel Espinosa,45575,1200000,137,2015
Paul Blart: Mall Cop 2,Comedy,11719,Andy Fickman,46397,71000000,94,2015
True Story,"Crime, Mystery & Thriller, Drama",10551,Rupert Goold,51904,4700000,104,2015
Little Boy,"War, History, Drama",0,Alejandro Monteverde,53758,6500000,106,2015
